search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,years_of_experience,skill
Data Analyst,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City,Cairo,Egypt",12 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Industrial Engineering
Data Analyst,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City,Cairo,Egypt",12 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,Data Analysis
Data Analyst,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City,Cairo,Egypt",12 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Process Improvement
Data Analyst,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City,Cairo,Egypt",12 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Time and Motion Study
Data Analyst,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City,Cairo,Egypt",12 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Lean Manufacturing
Data Analyst,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City,Cairo,Egypt",12 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Power BI
Data Analyst,IE Data Analyst (Industrial Engineering) - Garments or Apparel Manufacturing,T&C Garments -,"Obour City,Cairo,Egypt",12 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Microsoft Excel
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,·Analyst/Research
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,· SQL
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,· Microsoft Excel
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,· Power BI
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,· Tableau
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,Data Analysis
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,Data Visualization
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,· Reporting
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,· Problem Solving
Data Analyst,Data Analyst,GPS -,"Heliopolis,Cairo,Egypt",12 days ago,Full Time,On-site,Entry Level,·1 - 5 Yrs of Exp,· Statistical Analysis
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,·Analyst/Research
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,Data Analysis
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Power BI
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,Data Visualization
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Excel
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Business Intelligence
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,Data Governance
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Reporting
Data Analyst,Data Analyst And Reporting,EBNY developments -,"Heliopolis,Cairo,Egypt",15 days ago,Full Time,On-site,Experienced,·2 - 5 Yrs of Exp,· Statistical Analysis
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,·IT/Software Development
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,Business Data Analysis
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,· Business Intelligence (BI)
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,· English B2
Data Analyst,Middle Business Data Analyst - BI Engineer,Vertex Technologies  -,"Cairo,Egypt",18 days ago,Full Time,On-site,Experienced,·3+ Yrs of Exp,· Power BI
